Search terms
"March 31, 2026 - July 20, 2026"
Search term,Search terms match type,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
racing school,Exact match,Added,72,451,15.96%,USD,8.64,621.74,79.54%,81.85%,2.00,0,310.87,2.78%
racing school atlanta,Exact match,Added,13,51,25.49%,USD,9.32,121.16,84.38%,96.88%,0.00,0,0,0.00%
performance driving school,Exact match,Added,11,98,11.22%,USD,6.78,74.55,83.33%,85.00%,0.00,0,0,0.00%
scca racing school,Exact match,Added,9,35,25.71%,USD,6.88,61.88,80.00%,80.00%,1.00,0,61.88,11.11%
scca racing,Exact match (close variant),None,8,215,3.72%,USD,5.95,47.57,47.13%,47.13%,0.00,0,0,0.00%
road atlanta driving school,Phrase match (close variant),None,8,39,20.51%,USD,6.24,49.91,80.00%,84.00%,0.00,0,0,0.00%
racing schools,Exact match (close variant),None,7,89,7.87%,USD,7.46,52.24,68.33%,68.33%,1.00,0,52.24,14.29%
racing driving school,Exact match (close variant),None,6,19,31.58%,USD,8.25,49.52,75.00%,75.00%,0.00,0,0,0.00%
road atlanta track days,Phrase match (close variant),None,6,29,20.69%,USD,16.10,96.62,66.67%,72.22%,0.00,0,0,0.00%
road atlanta racing school,Exact match (close variant),None,5,17,29.41%,USD,10.71,53.55,81.82%,81.82%,0.00,0,0,0.00%
performance driving school,Exact match (close variant),Added,4,49,8.16%,USD,9.67,38.67,62.50%,68.75%,0.00,0,0,0.00%
performance driving school atlanta,Exact match (close variant),None,4,27,14.81%,USD,6.69,26.77,82.35%,82.35%,0.00,0,0,0.00%
professional racing school,Exact match (close variant),None,4,20,20.00%,USD,6.54,26.16,83.33%,83.33%,0.00,0,0,0.00%
racing academy,Exact match (close variant),Added,4,23,17.39%,USD,11.45,45.78,52.94%,64.71%,0.00,0,0,0.00%
driving school road atlanta,Phrase match (close variant),None,4,10,40.00%,USD,8.91,35.66,100.00%,100.00%,0.00,0,0,0.00%
scca classes,Phrase match (close variant),None,4,55,7.27%,USD,7.68,30.71,45.00%,47.50%,0.00,0,0,0.00%
race school,Exact match,Added,3,17,17.65%,USD,8.51,25.53,72.73%,72.73%,0.00,0,0,0.00%
racing high school,Phrase match,None,3,5,60.00%,USD,9.54,28.61,100.00%,100.00%,0.00,0,0,0.00%
atlanta motorsports park 20 duck thurmond rd dawsonville ga 30534 usa,Broad match,None,3,4,75.00%,USD,2.53,7.59,100.00%,100.00%,0.00,0,0,0.00%
racing,Broad match,None,3,109,2.75%,USD,3.96,11.88,10.68%,14.56%,0.00,0,0,0.00%
car racing school,Exact match (close variant),None,3,24,12.50%,USD,8.13,24.39,85.71%,92.86%,0.00,0,0,0.00%
race school,Exact match (close variant),Added,3,14,21.43%,USD,7.77,23.31,45.45%,45.45%,0.00,0,0,0.00%
scca classes,Exact match (close variant),None,3,35,8.57%,USD,9.88,29.63,48.15%,48.15%,0.00,0,0,0.00%
beginner race car driving,Phrase match (close variant),None,3,4,75.00%,USD,7.98,23.95,100.00%,100.00%,0.00,0,0,0.00%
drag racing classes,Phrase match (close variant),None,3,14,21.43%,USD,8.89,26.66,36.36%,36.36%,0.00,0,0,0.00%
driver development program,Phrase match (close variant),None,3,13,23.08%,USD,4.17,12.51,27.27%,27.27%,0.00,0,0,0.00%
ginetta gt academy,Phrase match (close variant),None,3,15,20.00%,USD,11.28,33.83,50.00%,50.00%,0.00,0,0,0.00%
race car driving atlanta,Phrase match (close variant),None,3,21,14.29%,USD,13.16,39.49,92.31%,92.31%,0.00,0,0,0.00%
scca license,Phrase match (close variant),None,3,16,18.75%,USD,5.77,17.31,63.64%,63.64%,0.00,0,0,0.00%
bob bondurant high performance driving school,Phrase match,None,2,2,100.00%,USD,5.56,11.12,100.00%,100.00%,0.00,0,0,0.00%
how long is racing school,Phrase match,None,2,2,100.00%,USD,4.04,8.08,0.00%,100.00%,0.00,0,0,0.00%
karting racing school,Phrase match,None,2,2,100.00%,USD,4.25,8.50,100.00%,100.00%,0.00,0,0,0.00%
racing mechanic school,Phrase match,None,2,7,28.57%,USD,9.69,19.38,75.00%,100.00%,0.00,0,0,0.00%
racing school georgia,Phrase match,None,2,19,10.53%,USD,10.35,20.70,90.00%,100.00%,0.00,0,0,0.00%
road atlanta racing school,Phrase match,None,2,9,22.22%,USD,6.11,12.21,80.00%,100.00%,0.00,0,0,0.00%
seat time racing school,Phrase match,None,2,38,5.26%,USD,18.01,36.01,11.76%,11.76%,0.00,0,0,0.00%
services offered by ron fellows performance driving school,Phrase match,None,2,3,66.67%,USD,12.42,24.84,50.00%,50.00%,0.00,0,0,0.00%
amp race track,Broad match,None,2,11,18.18%,USD,4.90,9.80,75.00%,75.00%,0.00,0,0,0.00%
atlanta speedway,Broad match,Excluded,2,8,25.00%,USD,4.34,8.68,57.14%,57.14%,0.00,0,0,0.00%
car racing in atlanta,Broad match,None,2,5,40.00%,USD,3.34,6.68,75.00%,75.00%,0.00,0,0,0.00%
gt racing school,Broad match,None,2,4,50.00%,USD,8.95,17.90,100.00%,100.00%,0.00,0,0,0.00%
nhra georgia,Broad match,Excluded,2,1,200.00%,USD,9.71,19.42,100.00%,100.00%,0.00,0,0,0.00%
race car,Broad match,None,2,43,4.65%,USD,6.95,13.89,10.00%,15.00%,0.00,0,0,0.00%
race car track,Broad match,None,2,10,20.00%,USD,5.69,11.38,20.00%,20.00%,0.00,0,0,0.00%
senoia race track,Broad match,Excluded,2,2,100.00%,USD,37.75,75.49,50.00%,50.00%,0.00,0,0,0.00%
summit racing in georgia,Broad match,None,2,3,66.67%,USD,83.36,166.72,100.00%,100.00%,0.00,0,0,0.00%
auto racing school,Exact match (close variant),None,2,6,33.33%,USD,7.55,15.10,50.00%,50.00%,0.00,0,0,0.00%
car racing lessons,Exact match (close variant),None,2,4,50.00%,USD,6.59,13.17,100.00%,100.00%,0.00,0,0,0.00%
car racing schools,Exact match (close variant),None,2,10,20.00%,USD,6.95,13.89,77.78%,77.78%,0.00,0,0,0.00%
professional driving course,Exact match (close variant),None,2,7,28.57%,USD,6.41,12.82,75.00%,100.00%,0.00,0,0,0.00%
professional driving school for racing,Exact match (close variant),None,2,3,66.67%,USD,1.21,2.42,50.00%,100.00%,0.00,0,0,0.00%
race car driver school,Exact match (close variant),None,2,17,11.76%,USD,9.71,19.42,88.89%,88.89%,0.00,0,0,0.00%
